order_id,user_id,product_id,order_date,quantity,amount,payment
O000125,U01871,P0021,2025-04-23,2,50.27,Alipay
O000126,U00646,P0110,2025-05-15,3,63.67,Wechat
O000127,U00715,P0093,2025-06-16,4,44.13,Wechat
O000128,U04291,P0048,2025-06-04,4,51.14,Alipay
O000129,U02965,P0181,2025-06-02,2,50.39,CreditCard
O000130,U08050,P0144,2025-04-25,2,53.12,Alipay
O000131,U00816,P0119,2025-06-13,4,60.22,CreditCard
O000132,U00273,P0165,2025-03-01,1,28.94,Wechat
O000133,U00296,P0051,2025-05-31,3,13.26,Wechat
O000134,U02457,P0188,2025-01-27,2,30.24,Alipay
O000135,U01046,P0004,2025-06-12,2,52.23,CreditCard
O000136,U00592,P0101,2025-05-10,1,30.04,Alipay
O000137,U09366,P0044,2025-03-12,2,69.09,Wechat
O000138,U09843,P0170,2025-04-13,3,81.59,Alipay
O000139,U02656,P0047,2025-02-08,3,78.43,Wechat
O000140,U09908,P0105,2025-02-18,4,123.86,Wechat
O000141,U09189,P0163,2025-01-31,3,41.11,Wechat
O000142,U00686,P0044,2025-04-09,2,37.07,Wechat
O000143,U03205,P0164,2025-05-08,4,28.28,Wechat
O000144,U02831,P0067,2025-02-04,1,78.07,Alipay
O000145,U06939,P0182,2025-06-16,3,55.95,Wechat
O000146,U09408,P0180,2025-03-08,3,80.71,Alipay
O000147,U07694,P0062,2025-04-04,1,79.73,CreditCard
O000148,U00408,P0074,2025-06-12,1,82.45,CreditCard
O000149,U01508,P0127,2025-03-25,4,81.18,CreditCard
O000150,U06407,P0079,2025-03-12,1,102.85,CreditCard
O000151,U06685,P0095,2025-06-02,1,45.2,CreditCard
O000152,U00815,P0066,2025-05-07,2,20.45,CreditCard
O000153,U08077,P0139,2025-04-08,4,72.63,Wechat
O000154,U04980,P0166,2025-04-03,2,36.13,Alipay
O000155,U04168,P0057,2025-04-06,3,34.53,Alipay
O000156,U06240,P0072,2025-01-17,3,22.91,CreditCard
O000157,U08790,P0141,2025-04-20,2,119.32,CreditCard
O000158,U08424,P0091,2025-04-18,2,71.3,Wechat
O000159,U04386,P0192,2025-06-20,3,43.97,CreditCard
O000160,U09201,P0076,2025-02-20,4,54.12,CreditCard
O000161,U05787,P0170,2025-02-28,4,54.81,CreditCard
O000162,U02622,P0110,2025-05-21,1,48.4,Alipay
O000163,U07114,P0056,2025-05-07,3,62.54,Alipay
O000164,U05132,P0133,2025-03-18,1,50.06,Wechat
O000165,U07549,P0008,2025-02-09,4,36.91,Alipay
O000166,U07717,P0135,2025-04-04,4,24.25,Wechat
O000167,U04764,P0156,2025-05-11,2,7.7,Wechat
O000168,U06694,P0198,2025-02-10,1,38.61,CreditCard
O000169,U04126,P0056,2025-05-24,4,53.15,Alipay
O000170,U07056,P0187,2025-03-04,2,42.41,CreditCard
O000171,U08775,P0087,2025-06-26,4,26.86,Wechat
O000172,U05007,P0007,2025-04-02,2,6.48,Alipay
O000173,U00523,P0093,2025-01-16,1,51.8,CreditCard
O000174,U04410,P0137,2025-02-14,2,40.73,Alipay
O000175,U00135,P0043,2025-04-29,2,73.17,Wechat
O000176,U04594,P0051,2025-04-28,1,9.18,Wechat
O000177,U03214,P0195,2025-06-04,2,32.56,CreditCard
O000178,U07659,P0179,2025-01-12,4,12.31,Alipay
O000179,U08029,P0190,2025-02-28,3,8.25,Wechat
O000180,U04418,P0081,2025-06-01,1,32.19,CreditCard
O000181,U00079,P0171,2025-03-30,3,34.7,Wechat
O000182,U01040,P0008,2025-05-24,3,98.61,Alipay
O000183,U09161,P0086,2025-02-05,2,31.02,Alipay
O000184,U00630,P0091,2025-01-29,2,63.34,CreditCard
O000185,U00080,P0177,2025-02-03,2,45.74,Alipay
O000186,U03031,P0006,2025-03-29,4,50.16,CreditCard
O000187,U03437,P0080,2025-01-25,3,32.57,Alipay
O000188,U02282,P0017,2025-02-28,4,26.42,Alipay
O000189,U03810,P0068,2025-06-02,3,43.88,Wechat
O000190,U05417,P0159,2025-05-06,2,44.63,Wechat
O000191,U01648,P0185,2025-01-21,4,32.01,Wechat
O000192,U05777,P0062,2025-02-06,3,54.39,CreditCard
O000193,U02734,P0071,2025-01-08,4,51.47,Alipay
O000194,U07549,P0048,2025-04-02,1,51.68,Alipay
O000195,U07113,P0142,2025-02-08,4,69.81,CreditCard
O000196,U05636,P0047,2025-04-08,3,29.89,Wechat
O000197,U08579,P0014,2025-06-27,4,54.37,Alipay
O000198,U08660,P0058,2025-05-07,2,20.47,Wechat
O000199,U05736,P0184,2025-05-22,2,17.45,Alipay
O000200,U01315,P0088,2025-03-16,2,17.5,Alipay
O000201,U07068,P0194,2025-06-11,2,37.39,Wechat
O000202,U01325,P0161,2025-06-04,2,21.92,CreditCard
O000203,U01537,P0083,2025-03-01,2,24.96,Wechat
O000204,U04988,P0171,2025-05-03,2,43.82,Alipay
O000205,U03604,P0081,2025-04-02,1,43.88,CreditCard
O000206,U00513,P0179,2025-04-27,3,92.6,Alipay
O000207,U03056,P0122,2025-02-04,3,16.41,CreditCard
O000208,U07466,P0107,2025-01-28,2,34.93,Wechat
O000209,U04099,P0114,2025-03-05,4,15.39,Alipay
O000210,U01424,P0036,2025-01-25,3,23.18,CreditCard
O000211,U06137,P0122,2025-03-23,1,31.09,Alipay
O000212,U06970,P0195,2025-02-12,2,23.52,Alipay
O000213,U06952,P0045,2025-01-26,4,38.79,Wechat
O000214,U08614,P0066,2025-05-12,4,26.5,Wechat
O000215,U07243,P0168,2025-05-11,2,6.31,Alipay
O000216,U09653,P0004,2025-02-10,2,29.16,CreditCard
O000217,U09356,P0109,2025-01-16,3,23.88,Wechat
O000218,U07070,P0155,2025-01-22,1,98.75,Wechat
O000219,U09793,P0061,2025-01-06,3,36.45,Alipay
O000220,U08095,P0112,2025-01-19,1,71.04,Wechat
O000221,U00533,P0086,2025-03-21,1,29.23,CreditCard
O000222,U09670,P0185,2025-03-26,4,60.0,CreditCard
O000223,U06862,P0033,2025-02-06,2,19.49,Alipay
O000224,U01638,P0174,2025-02-28,2,37.43,Wechat
O000225,U03755,P0072,2025-02-25,1,57.37,CreditCard
O000226,U00631,P0136,2025-05-23,3,71.6,Alipay
O000227,U01482,P0089,2025-05-09,1,28.35,CreditCard
O000228,U02495,P0167,2025-03-16,1,62.5,Wechat
O000229,U09959,P0095,2025-02-07,1,49.44,Wechat
O000230,U06001,P0077,2025-04-13,2,7.86,Wechat
O000231,U09060,P0038,2025-06-23,2,26.34,Wechat
O000232,U04036,P0028,2025-03-02,2,33.71,Alipay
O000233,U05928,P0121,2025-02-03,2,92.46,Alipay
O000234,U07645,P0097,2025-04-24,4,33.44,Wechat
O000235,U01048,P0157,2025-06-05,4,29.15,Wechat
O000236,U09675,P0075,2025-03-26,2,92.03,Wechat
O000237,U04240,P0161,2025-03-15,3,61.45,Wechat
O000238,U03328,P0134,2025-01-22,2,71.56,CreditCard
O000239,U07142,P0064,2025-03-18,4,40.28,CreditCard
O000240,U01386,P0058,2025-04-06,4,3.92,Wechat
O000241,U02569,P0168,2025-06-25,2,26.36,CreditCard
O000242,U07925,P0124,2025-05-30,1,123.22,Wechat
O000243,U01757,P0165,2025-06-23,3,24.73,Alipay
O000244,U02410,P0105,2025-01-05,4,28.32,CreditCard
O000245,U07663,P0030,2025-05-30,2,62.66,CreditCard
O000246,U05567,P0100,2025-02-02,4,27.91,Wechat
O000247,U02650,P0055,2025-04-26,4,48.74,CreditCard
O000248,U02315,P0110,2025-01-29,2,28.5,CreditCard
O000249,U00878,P0022,2025-06-07,3,38.45,CreditCard
O000250,U03746,P0126,2025-05-09,1,62.13,CreditCard
O000251,U01605,P0041,2025-02-09,4,47.39,CreditCard
O000252,U06506,P0064,2025-05-21,1,42.24,CreditCard
O000253,U07253,P0083,2025-01-20,1,37.41,Wechat
O000254,U07130,P0118,2025-06-23,1,45.36,Alipay
O000255,U00441,P0198,2025-01-30,3,34.56,Alipay
O000256,U08419,P0145,2025-02-05,4,64.8,CreditCard
O000257,U00017,P0125,2025-04-26,2,92.85,Alipay
O000258,U05674,P0075,2025-06-14,1,61.03,CreditCard
O000259,U01327,P0187,2025-06-08,2,22.46,Alipay
O000260,U04167,P0015,2025-02-20,3,42.36,Alipay
O000261,U00170,P0014,2025-03-23,1,39.51,Wechat
O000262,U06182,P0034,2025-01-02,4,37.83,CreditCard
O000263,U09183,P0063,2025-05-14,2,51.5,Alipay
O000264,U00561,P0157,2025-05-23,3,61.16,Wechat
O000265,U05673,P0164,2025-03-21,3,42.29,Wechat
O000266,U05181,P0153,2025-02-13,4,75.3,CreditCard
O000267,U06498,P0116,2025-04-13,2,64.27,Wechat
O000268,U00779,P0167,2025-03-02,1,30.98,Alipay
O000269,U03371,P0155,2025-01-03,2,40.04,Alipay
O000270,U07525,P0176,2025-04-15,2,25.02,CreditCard
O000271,U01128,P0077,2025-03-31,2,38.02,CreditCard
O000272,U06947,P0062,2025-02-07,2,33.89,CreditCard
O000273,U00732,P0025,2025-05-10,4,61.0,Wechat
O000274,U02166,P0141,2025-03-04,1,14.26,Alipay
O000275,U00795,P0019,2025-02-14,2,8.63,Alipay
O000276,U04007,P0063,2025-01-26,4,11.28,Alipay
O000277,U01648,P0016,2025-04-07,4,24.62,CreditCard
O000278,U02440,P0041,2025-03-21,4,8.5,Wechat
O000279,U08773,P0061,2025-01-26,1,60.08,CreditCard
O000280,U05926,P0044,2025-05-21,2,29.24,Wechat
O000281,U09015,P0009,2025-02-14,1,62.62,CreditCard
O000282,U01259,P0176,2025-02-20,1,27.74,CreditCard
O000283,U01992,P0134,2025-04-10,3,54.98,CreditCard
O000284,U03642,P0106,2025-06-13,3,19.75,Alipay
O000285,U08806,P0061,2025-01-03,1,39.18,CreditCard
O000286,U01409,P0171,2025-06-23,4,59.26,CreditCard
O000287,U04023,P0123,2025-06-29,1,47.99,CreditCard
O000288,U00207,P0154,2025-04-08,1,33.12,Alipay
O000289,U05018,P0152,2025-05-11,2,43.52,CreditCard
O000290,U07900,P0110,2025-05-05,2,26.44,Wechat
O000291,U00380,P0011,2025-01-12,3,121.25,Alipay
O000292,U04211,P0021,2025-02-03,3,87.7,CreditCard
O000293,U00826,P0200,2025-01-26,3,69.71,Alipay
O000294,U01871,P0117,2025-01-03,3,76.35,Alipay
O000295,U09186,P0069,2025-03-03,1,72.14,Alipay
O000296,U08735,P0168,2025-01-08,2,25.68,CreditCard
O000297,U02955,P0027,2025-03-24,3,65.86,Wechat
O000298,U08669,P0002,2025-04-28,2,41.15,Alipay
O000299,U01805,P0196,2025-01-21,2,17.23,CreditCard
O000300,U04339,P0160,2025-01-21,4,33.5,CreditCard
O000301,U04253,P0093,2025-03-19,4,72.36,Alipay
O000302,U07744,P0156,2025-04-18,3,51.05,Wechat
O000303,U05639,P0102,2025-06-07,1,50.9,Alipay
O000304,U09832,P0030,2025-04-10,2,71.41,Wechat
O000305,U08168,P0110,2025-04-27,4,54.4,Wechat
O000306,U07310,P0113,2025-03-02,3,21.64,CreditCard
O000307,U08209,P0030,2025-06-25,4,33.15,CreditCard
O000308,U02317,P0193,2025-04-17,4,19.44,Alipay
O000309,U05807,P0150,2025-03-03,3,51.17,Alipay
O000310,U06582,P0035,2025-01-28,3,30.05,Alipay
O000311,U03585,P0140,2025-04-23,3,15.33,Wechat
O000312,U08101,P0094,2025-04-06,2,57.74,Wechat
O000313,U03205,P0026,2025-04-28,4,11.34,CreditCard
O000314,U04694,P0123,2025-05-15,1,104.79,Wechat
O000315,U02291,P0187,2025-02-12,4,12.97,Wechat
O000316,U04730,P0168,2025-06-25,3,17.91,CreditCard
O000317,U04947,P0018,2025-04-08,3,49.25,Alipay
O000318,U02883,P0098,2025-04-11,4,25.02,Alipay
O000319,U03579,P0053,2025-04-19,1,48.81,Wechat
O000320,U01810,P0175,2025-03-17,2,21.29,Wechat
O000321,U01586,P0107,2025-04-28,2,30.37,CreditCard
O000322,U01676,P0045,2025-03-18,2,82.7,Alipay
O000323,U08379,P0076,2025-02-17,2,39.44,Wechat
O000324,U06501,P0154,2025-01-29,3,20.91,CreditCard
O000325,U06811,P0054,2025-04-18,1,63.89,Alipay
O000326,U04101,P0007,2025-05-03,3,52.46,Alipay
O000327,U08826,P0097,2025-03-22,3,49.66,CreditCard
O000328,U08365,P0152,2025-04-10,3,55.32,Alipay
O000329,U06184,P0056,2025-01-06,3,93.73,CreditCard
O000330,U03791,P0200,2025-05-24,2,20.89,Wechat
O000331,U08869,P0072,2025-01-08,1,16.33,Wechat
O000332,U09886,P0175,2025-05-05,3,38.48,CreditCard
O000333,U03720,P0103,2025-02-28,3,17.66,CreditCard
O000334,U05645,P0196,2025-01-21,1,76.93,CreditCard
O000335,U02376,P0192,2025-02-16,1,37.93,CreditCard
O000336,U02748,P0030,2025-06-02,3,42.35,Alipay
O000337,U05404,P0099,2025-01-15,1,55.59,CreditCard
O000338,U01056,P0072,2025-02-27,1,47.72,Wechat
O000339,U06179,P0013,2025-03-09,3,72.73,CreditCard
O000340,U09487,P0038,2025-06-25,3,22.51,Wechat
O000341,U07401,P0140,2025-01-21,2,59.26,Wechat
O000342,U02571,P0132,2025-02-02,1,17.17,Alipay
O000343,U08497,P0032,2025-05-03,3,82.09,Wechat
O000344,U08790,P0023,2025-01-06,2,57.61,Wechat
O000345,U09559,P0179,2025-04-25,3,60.57,Alipay
O000346,U07872,P0014,2025-06-16,1,22.53,Alipay
O000347,U08616,P0115,2025-06-23,4,10.81,CreditCard
O000348,U04130,P0168,2025-05-14,3,17.51,CreditCard
O000349,U09530,P0073,2025-05-03,3,26.8,CreditCard
O000350,U09835,P0160,2025-04-25,1,53.38,Wechat
O000351,U02209,P0042,2025-03-22,3,14.78,Wechat
O000352,U01809,P0032,2025-05-06,1,54.64,Alipay
O000353,U05501,P0105,2025-05-20,1,57.93,Alipay
O000354,U01556,P0133,2025-04-02,2,17.82,CreditCard
O000355,U01672,P0137,2025-06-08,2,65.74,Wechat
O000356,U08070,P0020,2025-04-21,3,33.27,Wechat
O000357,U05135,P0176,2025-06-11,3,22.39,Alipay
O000358,U06684,P0025,2025-03-04,3,109.97,Wechat
O000359,U09772,P0044,2025-01-25,1,73.88,Alipay
O000360,U07351,P0091,2025-04-04,4,25.62,Wechat
O000361,U06858,P0027,2025-04-17,2,43.47,CreditCard
O000362,U06726,P0156,2025-03-20,1,21.82,Wechat
O000363,U08309,P0144,2025-05-05,1,45.47,Wechat
O000364,U03462,P0147,2025-01-23,3,21.81,CreditCard
O000365,U09667,P0182,2025-06-26,4,12.82,CreditCard
O000366,U00878,P0150,2025-05-29,4,67.63,Alipay
O000367,U00776,P0043,2025-05-16,3,30.47,Wechat
O000368,U00213,P0165,2025-02-23,1,51.24,Alipay
O000369,U08090,P0110,2025-01-20,3,27.42,Alipay
O000370,U02814,P0175,2025-02-18,3,26.68,Wechat
O000371,U03187,P0057,2025-04-10,3,35.08,Alipay
O000372,U01260,P0062,2025-01-31,2,92.65,Alipay
O000373,U05398,P0135,2025-06-07,1,79.09,Alipay
O000374,U00744,P0010,2025-05-29,2,86.31,Alipay
O000375,U00923,P0155,2025-06-26,2,67.23,Wechat
O000376,U02677,P0173,2025-05-02,1,7.6,CreditCard
O000377,U04848,P0192,2025-04-02,1,60.59,Alipay
O000378,U05455,P0199,2025-05-13,2,43.18,CreditCard
O000379,U06900,P0088,2025-02-27,3,24.33,Wechat
O000380,U09601,P0154,2025-06-24,2,26.24,CreditCard
O000381,U07895,P0040,2025-02-01,1,65.63,Alipay
O000382,U02526,P0155,2025-02-25,4,55.2,Wechat
O000383,U05604,P0199,2025-03-24,3,82.66,Wechat
O000384,U01143,P0070,2025-04-23,2,29.4,CreditCard
O000385,U03019,P0190,2025-06-29,2,23.81,Alipay
O000386,U04163,P0018,2025-05-23,4,73.66,Alipay
O000387,U01742,P0046,2025-04-18,1,33.5,CreditCard
O000388,U03079,P0181,2025-02-16,4,38.36,Alipay
O000389,U08881,P0032,2025-01-10,1,11.13,Alipay
O000390,U09802,P0147,2025-03-01,1,27.44,Alipay
O000391,U01601,P0067,2025-04-02,3,37.78,Wechat
O000392,U05216,P0065,2025-05-23,2,25.96,Wechat
O000393,U06384,P0081,2025-01-25,3,83.84,Wechat
O000394,U03971,P0155,2025-01-14,1,51.48,Wechat
O000395,U06553,P0154,2025-05-01,4,51.52,CreditCard
O000396,U05533,P0189,2025-06-19,3,78.07,CreditCard
O000397,U09620,P0167,2025-01-12,1,26.77,Alipay
O000398,U05012,P0170,2025-06-28,2,22.55,Alipay
O000399,U07616,P0138,2025-05-29,1,16.37,Wechat
O000400,U00527,P0072,2025-06-11,2,19.3,CreditCard
O000401,U02881,P0155,2025-06-06,3,41.96,CreditCard
O000402,U07921,P0118,2025-01-28,1,24.04,CreditCard
O000403,U01523,P0085,2025-02-18,1,43.5,Alipay
O000404,U01055,P0131,2025-04-13,2,52.14,Wechat
O000405,U07709,P0056,2025-02-22,1,46.15,Wechat
O000406,U00472,P0116,2025-04-20,2,54.68,Alipay
O000407,U01983,P0035,2025-06-27,4,12.68,Alipay
O000408,U04813,P0058,2025-06-18,2,17.16,Wechat
O000409,U05008,P0047,2025-06-30,1,106.32,Wechat
O000410,U02798,P0044,2025-06-16,3,67.56,CreditCard
O000411,U08606,P0025,2025-03-11,1,39.0,CreditCard
O000412,U06747,P0016,2025-02-28,1,52.03,CreditCard
O000413,U03846,P0048,2025-03-04,4,25.74,Alipay
O000414,U00237,P0079,2025-03-22,3,52.01,Wechat
O000415,U05080,P0026,2025-05-20,2,136.41,Alipay
O000416,U04859,P0044,2025-03-10,3,55.7,CreditCard
O000417,U00505,P0040,2025-03-11,3,57.04,Wechat
O000418,U04009,P0072,2025-06-27,2,22.06,Alipay
O000419,U09846,P0179,2025-01-02,4,31.5,Alipay
O000420,U05752,P0106,2025-04-23,1,113.55,CreditCard
O000421,U08434,P0031,2025-01-24,4,31.03,Alipay
O000422,U05511,P0017,2025-06-18,3,68.52,Alipay
O000423,U09437,P0003,2025-03-12,4,90.85,Alipay
O000424,U08110,P0080,2025-01-27,3,51.31,Alipay
O000425,U08834,P0159,2025-02-19,4,30.25,CreditCard
O000426,U03155,P0017,2025-06-30,4,44.05,Alipay
O000427,U05097,P0082,2025-01-10,1,61.53,CreditCard
O000428,U05322,P0077,2025-02-04,2,24.31,Wechat
O000429,U00915,P0163,2025-06-25,2,22.31,CreditCard
O000430,U01247,P0099,2025-02-15,3,77.01,CreditCard
O000431,U03271,P0007,2025-01-19,3,74.0,Alipay
O000432,U04378,P0082,2025-04-09,3,69.74,Wechat
O000433,U02875,P0152,2025-05-28,3,64.16,Wechat
O000434,U03963,P0045,2025-06-12,1,39.09,Alipay
O000435,U06253,P0183,2025-04-08,4,5.65,Alipay
O000436,U06938,P0170,2025-05-30,1,44.88,CreditCard
O000437,U02751,P0199,2025-02-14,2,93.07,CreditCard
O000438,U03797,P0060,2025-03-30,4,40.51,CreditCard
O000439,U09318,P0024,2025-04-09,3,19.12,Alipay
O000440,U08877,P0017,2025-01-24,4,53.36,Wechat
O000441,U00267,P0174,2025-06-05,4,60.72,CreditCard
O000442,U02078,P0079,2025-03-01,1,36.05,Alipay
O000443,U02438,P0162,2025-06-17,2,94.73,Alipay
O000444,U06958,P0097,2025-01-01,2,58.13,CreditCard
O000445,U03078,P0132,2025-02-15,3,18.58,Alipay
O000446,U03303,P0049,2025-04-15,4,65.42,Alipay
O000447,U08828,P0133,2025-06-22,2,30.2,CreditCard
O000448,U04217,P0061,2025-02-28,2,32.3,Wechat
O000449,U01680,P0095,2025-05-01,2,16.53,CreditCard
O000450,U07147,P0098,2025-05-15,2,83.38,CreditCard
O000451,U00611,P0188,2025-03-07,3,18.73,CreditCard
O000452,U05931,P0199,2025-04-22,1,53.03,Alipay
O000453,U04082,P0073,2025-02-14,3,32.32,CreditCard
O000454,U06287,P0046,2025-05-24,1,10.32,CreditCard
O000455,U05403,P0142,2025-02-04,3,45.48,Alipay
O000456,U04408,P0116,2025-01-06,2,38.98,Wechat
O000457,U09464,P0006,2025-03-29,3,41.93,Alipay
O000458,U09166,P0195,2025-02-11,2,25.21,CreditCard
O000459,U06115,P0160,2025-05-14,2,20.18,CreditCard
