user_id,gender,age,city,register_date,user_level,source_channel
U00061,M,50,Shanghai,2025-03-03,None,Wechat
U00062,M,18,Chengdu,2025-05-05,Silver,Wechat
U00063,M,40,Beijing,2025-05-17,Silver,Wechat
U00064,F,24,Guangzhou,2025-06-18,Silver,Google
U00065,F,19,Guangzhou,2025-02-12,Platinum,Organic
U00066,F,22,Beijing,2025-06-05,Gold,Wechat
U00067,M,26,Nanjing,2025-05-19,None,Wechat
U00068,F,33,Nanjing,2025-03-21,Gold,Organic
U00069,F,50,Hangzhou,2025-06-16,Silver,Douyin
U00070,F,25,Shanghai,2025-05-13,Silver,Wechat
U00071,M,52,Shanghai,2025-03-05,None,Organic
U00072,M,42,Guangzhou,2025-03-28,None,Douyin
U00073,M,35,Guangzhou,2025-05-22,None,XHS
U00074,M,53,Shanghai,2025-02-26,Silver,Douyin
U00075,M,38,Beijing,2025-06-11,None,XHS
U00076,M,25,Chengdu,2025-01-18,Gold,Wechat
U00077,M,50,Guangzhou,2025-03-26,Silver,Wechat
U00078,F,39,Nanjing,2025-03-02,None,Douyin
U00079,M,25,Guangzhou,2025-05-05,Silver,Google
U00080,F,47,Beijing,2025-02-03,Silver,Wechat
U00081,F,50,Beijing,2025-05-02,None,Wechat
U00082,M,36,Nanjing,2025-01-25,Silver,Google
U00083,F,34,Hangzhou,2025-04-21,Platinum,XHS
U00084,F,23,Chengdu,2025-04-16,None,Douyin
U00085,M,41,Shanghai,2025-01-14,None,Wechat
U00086,F,48,Chengdu,2025-04-14,Platinum,Organic
U00087,M,38,Beijing,2025-01-28,None,Douyin
U00088,F,20,Beijing,2025-02-18,None,Wechat
U00089,M,48,Shenzhen,2025-04-19,Gold,Organic
U00090,M,41,Chengdu,2025-04-29,None,Wechat
U00091,F,40,Chengdu,2025-01-20,None,Wechat
U00092,M,19,Shanghai,2025-05-21,None,Google
U00093,M,26,Shanghai,2025-06-16,Silver,XHS
U00094,M,46,Hangzhou,2025-03-02,None,XHS
U00095,F,42,Beijing,2025-05-05,Silver,Douyin
U00096,M,24,Beijing,2025-04-13,Silver,Google
U00097,M,18,Hangzhou,2025-04-08,None,XHS
U00098,F,31,Shenzhen,2025-03-09,Gold,XHS
U00099,F,45,Beijing,2025-04-19,Silver,XHS
U00100,F,39,Beijing,2025-02-18,None,Douyin
U00101,M,39,Nanjing,2025-01-15,Silver,Douyin
U00102,M,23,Shanghai,2025-03-22,None,Wechat
U00103,F,54,Guangzhou,2025-05-30,Silver,Google
U00104,M,22,Shanghai,2025-05-16,None,Google
U00105,M,49,Chengdu,2025-05-11,Silver,Wechat
U00106,M,33,Guangzhou,2025-02-17,Platinum,Wechat
U00107,M,47,Hangzhou,2025-01-18,None,XHS
U00108,M,36,Guangzhou,2025-01-31,None,Douyin
U00109,M,54,Guangzhou,2025-06-02,None,Douyin
U00110,F,26,Nanjing,2025-01-21,Silver,Douyin
U00111,F,18,Shenzhen,2025-05-30,None,Douyin
U00112,F,42,Beijing,2025-02-22,Silver,Douyin
U00113,F,33,Beijing,2025-03-09,Silver,Wechat
U00114,F,22,Hangzhou,2025-06-21,Silver,XHS
U00115,M,29,Shanghai,2025-03-22,Silver,Douyin
U00116,M,39,Shanghai,2025-04-28,None,Douyin
U00117,M,22,Guangzhou,2025-05-18,None,XHS
U00118,M,22,Shenzhen,2025-03-09,None,Douyin
U00119,M,38,Shenzhen,2025-01-18,None,Douyin
U00120,M,47,Hangzhou,2025-03-14,Silver,Douyin
U00121,F,22,Guangzhou,2025-05-20,Gold,Douyin
U00122,M,27,Nanjing,2025-06-17,Silver,Wechat
U00123,F,18,Nanjing,2025-05-22,Silver,Wechat
U00124,M,33,Shenzhen,2025-01-27,None,Wechat
U00125,M,45,Nanjing,2025-01-30,Silver,Organic
U00126,M,41,Shenzhen,2025-05-22,Silver,Wechat
U00127,M,50,Nanjing,2025-03-14,None,Wechat
U00128,M,54,Nanjing,2025-03-29,Silver,Google
U00129,F,27,Guangzhou,2025-06-12,None,Douyin
U00130,F,29,Chengdu,2025-05-06,None,Douyin
U00131,M,52,Nanjing,2025-01-14,None,Wechat
U00132,F,46,Shanghai,2025-04-19,Gold,Douyin
U00133,F,51,Chengdu,2025-01-01,None,XHS
U00134,F,28,Beijing,2025-02-03,Gold,Wechat
U00135,F,38,Guangzhou,2025-04-24,Platinum,Wechat
U00136,M,54,Shanghai,2025-01-03,Silver,Google
U00137,M,52,Guangzhou,2025-06-26,None,XHS
U00138,F,49,Guangzhou,2025-01-10,None,Organic
U00139,M,54,Hangzhou,2025-05-22,None,Wechat
U00140,M,40,Shenzhen,2025-02-02,Silver,Douyin
U00141,M,34,Shenzhen,2025-04-04,Silver,XHS
U00142,M,42,Nanjing,2025-02-23,None,Organic
U00143,F,53,Chengdu,2025-01-27,None,Organic
U00144,F,29,Guangzhou,2025-05-24,None,Organic
U00145,M,48,Chengdu,2025-02-09,Platinum,Wechat
U00146,M,33,Hangzhou,2025-02-11,None,Douyin
U00147,M,42,Nanjing,2025-01-07,Silver,Douyin
U00148,F,40,Chengdu,2025-03-27,Silver,Douyin
U00149,M,31,Shenzhen,2025-06-21,Silver,XHS
U00150,M,40,Hangzhou,2025-02-10,Silver,Wechat
U00151,F,29,Beijing,2025-01-10,Silver,Google
U00152,F,34,Shenzhen,2025-02-21,None,Douyin
U00153,M,30,Beijing,2025-03-20,None,XHS
U00154,M,44,Hangzhou,2025-01-07,Silver,Douyin
U00155,F,54,Chengdu,2025-03-26,None,Wechat
U00156,F,18,Shenzhen,2025-01-18,Gold,Douyin
U00157,F,24,Nanjing,2025-06-14,Platinum,Google
U00158,F,23,Shanghai,2025-05-18,Silver,XHS
U00159,F,44,Beijing,2025-01-30,None,XHS
U00160,F,20,Shanghai,2025-05-29,None,XHS
U00161,F,37,Shenzhen,2025-01-28,None,Douyin
U00162,F,18,Guangzhou,2025-03-22,Silver,Douyin
U00163,M,42,Hangzhou,2025-05-11,Gold,Douyin
U00164,M,23,Shenzhen,2025-05-28,Gold,Organic
U00165,F,38,Shanghai,2025-01-12,None,Organic
U00166,M,54,Shenzhen,2025-05-14,None,Wechat
U00167,M,35,Nanjing,2025-04-21,None,Douyin
U00168,F,32,Nanjing,2025-03-26,None,Wechat
U00169,F,20,Guangzhou,2025-02-01,Gold,Douyin
U00170,F,29,Shenzhen,2025-03-21,Platinum,Douyin
U00171,F,29,Guangzhou,2025-04-14,None,XHS
U00172,M,45,Hangzhou,2025-02-02,Silver,XHS
U00173,F,45,Nanjing,2025-06-20,None,Organic
U00174,F,44,Hangzhou,2025-02-14,Silver,Wechat
U00175,M,50,Shenzhen,2025-05-21,None,Wechat
U00176,M,46,Hangzhou,2025-03-15,None,Douyin
U00177,F,23,Hangzhou,2025-05-29,Gold,Wechat
U00178,F,42,Nanjing,2025-04-24,None,Organic
U00179,F,22,Chengdu,2025-02-24,None,XHS
U00180,M,18,Shenzhen,2025-02-13,None,Organic
U00181,F,28,Shanghai,2025-05-12,Silver,XHS
U00182,F,39,Beijing,2025-03-02,Gold,Wechat
U00183,M,50,Shanghai,2025-02-20,None,XHS
U00184,M,18,Hangzhou,2025-01-12,None,Douyin
U00185,M,45,Hangzhou,2025-06-06,Gold,Organic
U00186,M,20,Nanjing,2025-04-17,Silver,Google
U00187,F,54,Hangzhou,2025-06-28,Silver,XHS
U00188,M,38,Beijing,2025-04-13,None,Douyin
U00189,M,30,Chengdu,2025-06-17,None,Organic
U00190,F,49,Beijing,2025-01-28,None,Douyin
U00191,F,43,Shanghai,2025-02-15,None,XHS
U00192,M,20,Chengdu,2025-05-23,Silver,Organic
U00193,F,22,Beijing,2025-02-01,None,Google
U00194,F,34,Chengdu,2025-04-29,None,Douyin
U00195,F,32,Chengdu,2025-04-24,Silver,Wechat
U00196,F,28,Beijing,2025-05-21,None,Douyin
U00197,F,51,Shenzhen,2025-05-02,None,Wechat
U00198,F,47,Chengdu,2025-03-05,Silver,Douyin
U00199,F,51,Nanjing,2025-05-14,None,Wechat
U00200,F,41,Hangzhou,2025-03-03,Gold,Douyin
U00201,F,34,Beijing,2025-01-20,Gold,Douyin
U00202,F,34,Shenzhen,2025-03-11,None,Douyin
U00203,M,41,Beijing,2025-05-19,None,Wechat
U00204,M,19,Hangzhou,2025-02-08,None,Wechat
U00205,M,28,Nanjing,2025-06-27,None,Douyin
U00206,M,33,Hangzhou,2025-02-24,None,Douyin
U00207,F,25,Guangzhou,2025-04-15,None,Wechat
U00208,F,42,Shanghai,2025-04-30,Gold,XHS
U00209,F,46,Hangzhou,2025-02-22,Platinum,Wechat
U00210,M,36,Chengdu,2025-05-30,Gold,XHS
U00211,F,39,Hangzhou,2025-05-28,None,Douyin
U00212,F,29,Shenzhen,2025-01-02,None,XHS
U00213,F,31,Guangzhou,2025-04-10,None,XHS
U00214,M,43,Hangzhou,2025-05-20,Silver,Wechat
U00215,F,47,Hangzhou,2025-02-26,None,XHS
U00216,M,34,Hangzhou,2025-05-05,None,Google
U00217,F,52,Nanjing,2025-03-28,None,Douyin
U00218,F,39,Beijing,2025-02-12,None,Google
U00219,M,31,Hangzhou,2025-06-09,None,Wechat
U00220,M,31,Shanghai,2025-06-01,None,Douyin
U00221,F,20,Beijing,2025-06-14,Gold,Wechat
U00222,M,35,Shanghai,2025-04-29,None,Wechat
U00223,F,32,Shenzhen,2025-03-08,None,Wechat
U00224,F,45,Shenzhen,2025-02-24,None,XHS
U00225,F,39,Shenzhen,2025-03-28,None,Douyin
U00226,F,34,Chengdu,2025-04-18,None,XHS
U00227,F,27,Shanghai,2025-01-21,Silver,XHS
U00228,M,53,Shenzhen,2025-05-19,Silver,Wechat
U00229,M,25,Chengdu,2025-02-27,Silver,Wechat
U00230,M,54,Chengdu,2025-06-16,None,Wechat
U00231,M,51,Beijing,2025-01-08,None,XHS
U00232,M,23,Beijing,2025-01-06,Silver,Douyin
U00233,F,39,Nanjing,2025-02-02,None,XHS
U00234,M,21,Hangzhou,2025-01-30,Gold,Douyin
U00235,F,47,Chengdu,2025-06-29,None,Organic
U00236,M,20,Guangzhou,2025-04-05,Silver,XHS
U00237,M,53,Chengdu,2025-06-05,Platinum,Organic
U00238,F,37,Shanghai,2025-02-11,Platinum,Organic
U00239,M,23,Shenzhen,2025-05-29,Platinum,XHS
U00240,F,19,Hangzhou,2025-05-28,Silver,Wechat
U00241,M,22,Guangzhou,2025-02-20,None,XHS
U00242,M,36,Shanghai,2025-06-26,None,Wechat
U00243,F,29,Chengdu,2025-06-28,None,Wechat
U00244,M,54,Chengdu,2025-06-25,Silver,Organic
U00245,M,30,Shenzhen,2025-05-25,Silver,Douyin
U00246,F,27,Nanjing,2025-05-17,Silver,Wechat
U00247,M,19,Guangzhou,2025-04-05,None,Google
U00248,F,18,Shanghai,2025-06-15,None,Douyin
U00249,F,26,Shanghai,2025-04-18,Silver,XHS
U00250,F,52,Nanjing,2025-04-21,None,Organic
U00251,M,31,Hangzhou,2025-04-28,Gold,Organic
U00252,F,51,Guangzhou,2025-02-15,None,Douyin
U00253,F,39,Hangzhou,2025-05-18,None,Google
U00254,F,28,Shenzhen,2025-04-22,Silver,Douyin
U00255,M,47,Shenzhen,2025-03-04,Gold,Douyin
U00256,M,36,Chengdu,2025-04-26,Silver,Wechat
U00257,F,21,Shenzhen,2025-04-29,None,Wechat
U00258,F,35,Chengdu,2025-01-08,Gold,XHS
U00259,M,31,Hangzhou,2025-03-25,Gold,Wechat
U00260,F,50,Chengdu,2025-02-24,Silver,Wechat
U00261,F,42,Shenzhen,2025-03-08,None,XHS
U00262,F,19,Guangzhou,2025-06-02,Silver,Organic
U00263,M,23,Shanghai,2025-01-03,Gold,Wechat
U00264,F,25,Hangzhou,2025-03-03,Silver,Douyin
U00265,M,46,Nanjing,2025-05-23,None,Wechat
U00266,F,44,Hangzhou,2025-05-02,Silver,Douyin
U00267,M,50,Shenzhen,2025-01-05,Silver,Google
U00268,F,50,Nanjing,2025-02-26,None,Wechat
U00269,F,27,Nanjing,2025-03-04,None,Google
U00270,F,30,Hangzhou,2025-05-29,None,Google
U00271,F,41,Hangzhou,2025-05-22,Silver,Wechat
U00272,F,25,Shenzhen,2025-05-21,None,Douyin
U00273,F,29,Shenzhen,2025-06-29,Silver,Douyin
U00274,F,53,Beijing,2025-03-20,Silver,Douyin
U00275,M,22,Shenzhen,2025-01-31,Gold,Organic
U00276,M,23,Beijing,2025-01-31,None,XHS
U00277,F,29,Shenzhen,2025-02-25,Gold,Douyin
U00278,F,35,Shanghai,2025-05-31,Silver,Douyin
U00279,F,29,Beijing,2025-02-19,None,Organic
U00280,M,22,Shenzhen,2025-04-03,Gold,Wechat
U00281,M,45,Shenzhen,2025-01-04,None,Douyin
U00282,M,46,Guangzhou,2025-01-12,None,Google
U00283,M,28,Nanjing,2025-03-16,None,Douyin
U00284,M,38,Chengdu,2025-05-06,None,Douyin
U00285,F,40,Hangzhou,2025-01-04,Gold,Organic
U00286,F,32,Shenzhen,2025-05-03,None,Douyin
U00287,M,26,Shenzhen,2025-02-17,None,Google
U00288,M,43,Chengdu,2025-05-03,None,XHS
U00289,F,42,Hangzhou,2025-01-17,Gold,Organic
U00290,M,24,Beijing,2025-01-19,None,Wechat
U00291,F,34,Shanghai,2025-02-08,Silver,Douyin
U00292,M,41,Guangzhou,2025-03-05,Silver,Douyin
U00293,M,41,Chengdu,2025-04-17,None,Google
U00294,F,39,Hangzhou,2025-05-14,None,Douyin
U00295,F,24,Chengdu,2025-04-24,Platinum,XHS
U00296,F,37,Shenzhen,2025-05-31,None,Douyin
U00297,M,24,Guangzhou,2025-05-26,Silver,Douyin
U00298,M,40,Nanjing,2025-01-26,None,Google
U00299,F,49,Nanjing,2025-02-24,None,Wechat
U00300,M,46,Beijing,2025-01-21,None,Wechat
U00301,M,35,Beijing,2025-02-14,None,Wechat
U00302,F,19,Hangzhou,2025-01-01,Silver,XHS
U00303,F,47,Shenzhen,2025-06-26,Silver,Douyin
U00304,M,18,Shenzhen,2025-01-09,None,Douyin
U00305,F,20,Nanjing,2025-06-30,None,Douyin
U00306,M,51,Nanjing,2025-04-27,None,Douyin
U00307,F,45,Chengdu,2025-03-01,Gold,Organic
U00308,M,25,Hangzhou,2025-06-10,None,Douyin
U00309,M,41,Nanjing,2025-01-30,None,Wechat
U00310,F,25,Chengdu,2025-02-08,None,Google
U00311,M,20,Shanghai,2025-02-06,Gold,Wechat
U00312,F,25,Guangzhou,2025-02-12,None,Douyin
U00313,F,31,Hangzhou,2025-05-26,Silver,Google
U00314,F,33,Nanjing,2025-02-01,None,Wechat
U00315,F,38,Shenzhen,2025-03-19,None,XHS
U00316,F,35,Hangzhou,2025-05-09,None,Douyin
U00317,M,40,Hangzhou,2025-01-21,Gold,Douyin
U00318,F,36,Shanghai,2025-03-24,Silver,XHS
U00319,M,19,Nanjing,2025-01-24,Gold,Wechat
U00320,M,28,Chengdu,2025-05-28,None,XHS
U00321,F,40,Guangzhou,2025-06-22,None,Google
U00322,M,54,Hangzhou,2025-01-11,None,Wechat
U00323,F,51,Shenzhen,2025-05-13,Gold,Douyin
U00324,F,39,Nanjing,2025-02-16,Silver,Douyin
U00325,M,47,Hangzhou,2025-05-06,None,Organic
U00326,F,49,Shenzhen,2025-03-31,None,Douyin
U00327,M,31,Chengdu,2025-03-24,Silver,Wechat
U00328,F,42,Hangzhou,2025-02-11,None,Douyin
U00329,F,21,Shenzhen,2025-06-27,None,Organic
U00330,F,51,Chengdu,2025-06-19,None,Douyin
U00331,M,35,Hangzhou,2025-05-21,Silver,Google
U00332,F,51,Shenzhen,2025-01-23,Silver,Wechat
U00333,M,29,Chengdu,2025-03-24,None,Douyin
U00334,M,38,Nanjing,2025-04-14,None,Douyin
U00335,F,44,Hangzhou,2025-05-19,Silver,Wechat
U00336,M,24,Guangzhou,2025-01-14,Silver,Google
U00337,F,38,Nanjing,2025-04-03,None,Wechat
U00338,M,19,Beijing,2025-04-24,None,Wechat
U00339,M,53,Shenzhen,2025-03-10,Silver,Douyin
U00340,F,28,Shanghai,2025-04-23,None,XHS
U00341,M,52,Nanjing,2025-01-08,Gold,XHS
U00342,F,41,Guangzhou,2025-02-10,Gold,Wechat
U00343,F,50,Shanghai,2025-01-04,None,Wechat
U00344,M,36,Hangzhou,2025-02-27,Silver,Douyin
U00345,M,51,Hangzhou,2025-01-31,Silver,XHS
U00346,F,26,Hangzhou,2025-03-16,None,Wechat
U00347,F,42,Beijing,2025-05-04,Silver,Wechat
U00348,M,42,Hangzhou,2025-04-27,None,Google
U00349,M,54,Chengdu,2025-02-18,None,Organic
U00350,F,51,Chengdu,2025-01-18,None,XHS
U00351,F,34,Chengdu,2025-04-17,Platinum,XHS
U00352,F,29,Chengdu,2025-05-10,Silver,Organic
U00353,F,25,Nanjing,2025-01-01,Silver,Google
U00354,F,54,Chengdu,2025-03-18,Silver,Google
U00355,F,42,Guangzhou,2025-02-08,Gold,Wechat
U00356,F,43,Shenzhen,2025-05-04,None,Wechat
U00357,F,49,Hangzhou,2025-05-22,Silver,Organic
U00358,M,40,Nanjing,2025-03-24,Silver,XHS
U00359,F,24,Beijing,2025-03-03,None,Wechat
U00360,M,26,Shenzhen,2025-04-16,None,Douyin
U00361,F,40,Hangzhou,2025-05-02,Silver,Wechat
U00362,M,52,Hangzhou,2025-06-19,None,Google
U00363,M,34,Guangzhou,2025-01-10,Silver,XHS
U00364,F,51,Chengdu,2025-06-01,Gold,Wechat
U00365,F,43,Shanghai,2025-01-26,Silver,Douyin
U00366,F,32,Shanghai,2025-05-15,Gold,Wechat
U00367,F,39,Chengdu,2025-02-06,None,Wechat
U00368,M,33,Shanghai,2025-06-17,None,Organic
U00369,F,19,Shenzhen,2025-05-01,None,Organic
U00370,F,47,Nanjing,2025-06-09,None,Douyin
U00371,F,35,Chengdu,2025-01-21,Gold,Google
U00372,F,46,Shenzhen,2025-06-22,Silver,XHS
U00373,F,33,Chengdu,2025-06-10,Gold,Organic
U00374,M,27,Guangzhou,2025-05-19,None,XHS
U00375,M,37,Nanjing,2025-01-18,Silver,Douyin
U00376,F,20,Beijing,2025-06-25,None,Douyin
U00377,F,21,Shanghai,2025-01-24,Silver,Wechat
U00378,M,18,Hangzhou,2025-06-12,Gold,Douyin
U00379,F,32,Shanghai,2025-02-12,None,Wechat
U00380,F,29,Chengdu,2025-01-12,Platinum,Google
U00381,F,54,Shenzhen,2025-01-15,None,XHS
U00382,F,41,Beijing,2025-04-06,None,Wechat
U00383,F,42,Guangzhou,2025-03-04,Silver,Douyin
U00384,M,25,Beijing,2025-06-24,Gold,Wechat
U00385,M,27,Guangzhou,2025-02-14,None,XHS
U00386,M,20,Hangzhou,2025-04-08,Gold,Google
U00387,M,40,Beijing,2025-05-30,Gold,Organic
U00388,F,52,Hangzhou,2025-04-29,Silver,Wechat
U00389,M,41,Chengdu,2025-03-07,Gold,XHS
U00390,F,30,Nanjing,2025-04-30,None,Wechat
U00391,M,26,Shanghai,2025-05-20,Gold,Organic
U00392,F,28,Guangzhou,2025-04-24,Gold,Douyin
U00393,F,45,Nanjing,2025-03-18,None,Douyin
U00394,F,51,Chengdu,2025-03-06,Gold,Google
U00395,M,42,Hangzhou,2025-03-19,Silver,Douyin
U00396,M,41,Beijing,2025-05-04,None,Douyin
U00397,F,22,Guangzhou,2025-04-08,None,Wechat
U00398,F,54,Shanghai,2025-03-17,None,Wechat
U00399,F,22,Shenzhen,2025-06-18,Platinum,Douyin
U00400,M,49,Guangzhou,2025-01-03,Silver,Organic
U00401,F,20,Chengdu,2025-05-08,None,Wechat
U00402,F,44,Beijing,2025-02-28,Gold,Wechat
U00403,M,41,Guangzhou,2025-06-12,Silver,Wechat
U00404,M,50,Nanjing,2025-03-06,None,Douyin
U00405,M,30,Shenzhen,2025-01-25,Gold,Wechat
U00406,M,53,Guangzhou,2025-04-23,Silver,Google
U00407,M,24,Shanghai,2025-04-04,Gold,Organic
U00408,F,48,Nanjing,2025-03-17,Gold,Douyin
U00409,M,47,Beijing,2025-04-17,Gold,Douyin
U00410,F,19,Guangzhou,2025-02-03,Gold,Wechat
U00411,F,19,Chengdu,2025-05-09,None,Wechat
U00412,F,34,Chengdu,2025-02-12,None,XHS
U00413,F,41,Nanjing,2025-05-04,Gold,Douyin
U00414,M,36,Hangzhou,2025-03-28,Silver,Wechat
U00415,M,49,Chengdu,2025-01-20,Gold,XHS
U00416,F,32,Chengdu,2025-02-27,Gold,Douyin
U00417,F,21,Shanghai,2025-05-23,None,Google
U00418,M,21,Shenzhen,2025-04-12,None,Wechat
U00419,M,39,Hangzhou,2025-05-18,Silver,XHS
U00420,F,39,Guangzhou,2025-04-05,Silver,Douyin
U00421,F,31,Shanghai,2025-04-08,Platinum,Organic
U00422,M,53,Hangzhou,2025-06-22,Silver,Wechat
U00423,F,29,Guangzhou,2025-01-07,None,Douyin
U00424,M,23,Nanjing,2025-02-26,None,Google
U00425,F,28,Nanjing,2025-04-29,Silver,XHS
U00426,M,51,Beijing,2025-04-15,Platinum,XHS
U00427,M,30,Shenzhen,2025-01-12,Gold,Wechat
U00428,M,46,Shanghai,2025-05-07,Silver,Douyin
U00429,M,19,Hangzhou,2025-03-02,Silver,Douyin
U00430,F,28,Nanjing,2025-04-27,None,Organic
U00431,F,45,Guangzhou,2025-06-28,Silver,Organic
U00432,F,54,Nanjing,2025-02-09,Silver,XHS
U00433,F,22,Guangzhou,2025-01-26,Platinum,XHS
U00434,F,32,Shanghai,2025-04-15,Silver,Douyin
U00435,F,42,Beijing,2025-06-26,Silver,Wechat
U00436,F,33,Beijing,2025-04-24,Silver,Douyin
U00437,M,42,Nanjing,2025-04-03,Gold,Google
U00438,F,32,Shanghai,2025-04-05,None,Wechat
U00439,F,24,Beijing,2025-04-12,Silver,Douyin
U00440,F,41,Shanghai,2025-02-01,Gold,Wechat
U00441,M,32,Nanjing,2025-06-19,None,Douyin
U00442,M,34,Shanghai,2025-06-13,Silver,Douyin
U00443,M,26,Beijing,2025-03-27,None,XHS
U00444,M,39,Shanghai,2025-05-25,Silver,Douyin
U00445,M,41,Guangzhou,2025-05-22,None,Organic
U00446,M,34,Shenzhen,2025-02-25,None,Douyin
U00447,M,35,Shenzhen,2025-02-07,None,Wechat
U00448,M,49,Guangzhou,2025-02-07,Silver,Google
U00449,M,25,Shanghai,2025-03-06,Silver,Wechat
U00450,M,34,Beijing,2025-06-19,None,Wechat
U00451,F,32,Chengdu,2025-01-04,None,Wechat
U00452,F,37,Shanghai,2025-03-02,None,Google
U00453,F,50,Shanghai,2025-02-14,Silver,Douyin
U00454,F,30,Guangzhou,2025-02-02,None,Google
U00455,M,43,Hangzhou,2025-01-30,None,Douyin
U00456,F,43,Guangzhou,2025-04-25,Silver,Google
U00457,M,51,Hangzhou,2025-06-01,None,Wechat
U00458,M,28,Guangzhou,2025-05-09,None,Organic
U00459,F,26,Hangzhou,2025-01-12,Gold,Douyin
U00460,M,49,Shanghai,2025-06-14,None,Organic
U00461,F,25,Hangzhou,2025-05-03,Silver,Google
U00462,M,24,Hangzhou,2025-06-25,Silver,Wechat
U00463,M,23,Shanghai,2025-04-24,Gold,XHS
U00464,M,20,Shanghai,2025-03-24,None,Douyin
U00465,F,31,Guangzhou,2025-02-02,None,Douyin
U00466,F,40,Hangzhou,2025-06-12,Silver,XHS
U00467,F,36,Hangzhou,2025-06-02,Platinum,XHS
U00468,F,25,Shanghai,2025-05-10,Gold,XHS
U00469,M,49,Chengdu,2025-06-29,None,Wechat
U00470,M,35,Hangzhou,2025-06-17,Silver,XHS
U00471,M,20,Hangzhou,2025-04-26,None,XHS
U00472,F,46,Hangzhou,2025-03-28,None,Douyin
U00473,M,24,Shenzhen,2025-04-17,None,Organic
U00474,F,48,Nanjing,2025-04-20,None,Google
U00475,F,54,Beijing,2025-03-07,None,XHS
U00476,F,37,Shanghai,2025-06-25,Silver,Wechat
U00477,M,49,Shanghai,2025-01-24,Silver,Douyin
U00478,M,51,Nanjing,2025-04-21,None,Organic
U00479,M,51,Guangzhou,2025-04-06,Silver,Wechat
U00480,F,29,Nanjing,2025-01-16,None,XHS
U00481,F,38,Shenzhen,2025-02-01,Silver,Douyin
U00482,F,25,Chengdu,2025-06-20,None,Wechat
U00483,F,31,Guangzhou,2025-01-14,Platinum,Douyin
